Name,Gpu_Memory,Memory_Interface,Memory_Bandwidth,ECC,CUDA_Cores,Tensor_Cores,RT_Cores,SPP,RT_Core_Performance,Tensor_Performance,System_Interface,Power_Consumption,Thermal_Solution,Form_Factor,Display_Connectors,Max_Simultaneous_Displays,Power_Connector,Encode_Decode_Engines,VR_Ready,vGPU_Software_Support,vGPU_Profiles_Supported,Graphics_APIs,Compute_APIs,NVIDIA_NVLink
NVIDIA RTX 6000 Ada,48GB GDDR6,384-bit,960 GB/s,Yes,18176,568,142,91.1 TFLOPS,210.6 TFLOPS,1457.0 TFLOPS,PCIe 4.0 x 16,Total board power: 300 W,Active,4.4" H x 10.5" L & dual slot & full height,4x DisplayPort 1.4a, 4x 4096 x 2160 @ 120 Hz | 4x 5120 x 2880 @ 60 Hz | 2x 7680 x 4320 @ 60 Hz,1x PCIe CEM5 16-pin,3x encode & 3x decode (+AV1 encode and decode),Yes,NVIDIA vPC/vApps | NVIDIA RTX Virtual Workstation,See the Virtual GPU Licensing Guide,DirectX 12 & Shader Model 6.6 & OpenGL 4.6 & Vulkan 1.3,CUDA 11.6 & OpenCL 3.0 & DirectCompute,No
NVIDIA RTX 5880 Ada,48GB GDDR6,384-bit,960 GB/s,Yes,14080,440,110,69.3 TFLOPS,160.2 TFLOPS,1108.4 TFLOPS,PCIe 4.0 x 16,Total board power: 285 W,Active,4.4" H x 10.5" L & dual slot,4x DisplayPort 1.4a,4x 4096 x 2160 @ 120hz & 4x 5120 x 2880 @ 60hz & 2x 7680 x 4320 @ 60hz,3x encode & 3x decode (+AV1 encode and decode),Yes,NVIDIA vPC/vApps & NVIDIA RTX Virtual Workstation,See the Virtual GPU Licensing Guide,DirectX 12 & Shader Model 6.6 & OpenGL 4.6 & Vulkan 1.3,CUDA 11.6 & OpenCL 3.0 & DirectCompute,No
NVIDIA RTX 5000 Ada,32GB GDDR6,256-bit,576 GB/s,Yes,12800,400,100,65.3 TFLOPS,151.0 TFLOPS,1044.4 TFLOPS,PCIe 4.0 x 16,Total board power: 250 W,Active,4.4" H x 10.5" L & dual slot,4x DisplayPort 1.4a,4x 4096 x 2160 @ 120hz & 4x 5120 x 2880 @ 60hz & 2x 7680 x 4320 @ 60hz,2x encode & 2x decode (+AV1 encode and decode),Yes,NVIDIA vPC/vApps & NVIDIA RTX Virtual Workstation,See the Virtual GPU Licensing Guide,DirectX 12 & Shader Model 6.7 & OpenGL 4.6 & Vulkan 1.3,CUDA 12.2 & OpenCL 3.0 & DirectCompute,No
NVIDIA RTX 4500 Ada,24GB GDDR6,192-bit,432 GB/s,Yes,7680,240,60,39.6 TFLOPS,91.6 TFLOPS,634.0 TFLOPS,PCIe 4.0 x 16,Total board power: 210 W,Active,4.4" H x 10.5" L & dual slot,4x DisplayPort 1.4a,4x 4096 x 2160 @ 120hz & 4x 5120 x 2880 @ 60hz & 2x 7680 x 4320 @ 60hz,2x encode & 2x decode (+AV1 encode and decode),Yes,NULL,NULL,DirectX 12 & Shader Model 6.7 & OpenGL 4.6 & Vulkan 1.3,CUDA 12.2 & OpenCL 3.0 & DirectCompute,No
NVIDIA RTX 4000 Ada,20GB GDDR6,160-bit,360 GB/s,Yes,6144,192,48,26.7 TFLOPS,61.8 TFLOPS,327.6 TFLOPS,PCIe 4.0 x 16,Total board power: 130 W,Active,4.4" H x 9.5" L & single slot,4x DisplayPort 1.4a,4x 4096 x 2160 @ 120hz & 4x 5120 x 2880 @ 60hz & 2x 7680 x 4320 @ 60hz,2x encode & 2x decode (+AV1 encode and decode),Yes,NULL,NULL,DirectX 12 & Shader Model 6.7 & OpenGL 4.6 & Vulkan 1.3,CUDA 12.2 & OpenCL 3.0 & DirectCompute,No
NVIDIA RTX 4000 SFF Ada,20GB GDDR6,160-bit,360 GB/s,Yes,6144,192,48,19.2 TFLOPS,44.3 TFLOPS,306.8 TFLOPS,PCIe 4.0 x 16,Total board power: 70 W,Active,2.7" H x 6.6" L & dual slot,4x Mini DisplayPort 1.4a,4x 4096 x 2160 @ 120hz & 4x 5120 x 2880 @ 60hz & 2x 7680 x 4320 @ 60hz,2x encode & 2x decode (+AV1 encode and decode),Yes,No,NULL,DirectX 12 & Shader Model 6.6 & OpenGL 4.6 & Vulkan 1.3,CUDA 11.6 & OpenCL 3.0 & DirectCompute,No
NVIDIA RTX 2000 Ada,16GB GDDR6,128-bit,224 GB/s,Yes,2816,88,22,12.0 TFLOPS,27.7 TFLOPS,191.9 TFLOPS,PCIe 4.0 x 8,Total board power: 70 W,Active,2.7" H x 6.6" L & dual slot,4x Mini DisplayPort 1.4a,4x 4096 x 2160 @ 120hz & 4x 5120 x 2880 @ 60hz & 2x 7680 x 4320 @ 60hz,1x encode & 1x decode (+AV1 encode and decode),Yes,NULL,NULL,DirectX 12 & Shader Model 6.6 & OpenGL 4.6 & Vulkan 1.3,CUDA 11.6 & OpenCL 3.0 & DirectCompute,No

